weight_CDM,weight_HRF,weight_CRF,stormSeverity,rainfallSeverity,timeOfDay,threshold,self.evacuated_inside + self.evacuated_outside
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.1,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7,44
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7,43
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7,45
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7,44
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7,42
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.2,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7,4
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7,4
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7,5
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7,4
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7,4
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.30000000000000004,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7,1
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.4,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.5,0.2,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.30000000000000004,0.6,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.7,37
0.4,0.1,0.5,1,Yellow,Daytime,0.7,37
0.4,0.1,0.5,1,Yellow,Daytime,0.7,39
0.4,0.1,0.5,1,Yellow,Daytime,0.7,41
0.4,0.1,0.5,1,Yellow,Daytime,0.7,37
0.4,0.1,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.7999999999999999,0
